algorithm,vehicles,avg_ms,orders_per_second,samples
NF,20,0.028333666666666667,176468.51213515134,3
NF,50,0.007958333333333333,628272.2513089005,3
NF,100,0.005986,835282.325425994,3
NF,200,0.007486,667913.438418381,3
NF,500,0.012652666666666666,395173.6129406186,3
SA,20,29.977777666666668,166.79021559225433,3
SA,50,22.2985,224.23032939435387,3
SA,100,22.946805333333334,217.89525501995806,3
SA,200,24.377152666666667,205.11009092694417,3
SA,500,29.85404133333333,167.48151260905783,3
